"userid","user_display_name","user_screen_name","user_reported_location","user_profile_description","user_profile_url","follower_count","following_count","account_creation_date","account_language"
"HNvUZ5gPSvWtrLjvfAocV35dG6+hrAJnXCUFWhb4g4=","HNvUZ5gPSvWtrLjvfAocV35dG6+hrAJnXCUFWhb4g4=","HNvUZ5gPSvWtrLjvfAocV35dG6+hrAJnXCUFWhb4g4=","Cuba","informático","","1175","1483","2019-06-05","es"
"tb3I7p7zky5ksxvs+Dpunmrvr3QsuZHWGZLV2p+6tM=","tb3I7p7zky5ksxvs+Dpunmrvr3QsuZHWGZLV2p+6tM=","tb3I7p7zky5ksxvs+Dpunmrvr3QsuZHWGZLV2p+6tM=","","Ingeniera Agrónoma, amante y protectora de la naturaleza cubana","","199","227","2019-04-23","es"
"yom5icl2EDmTVIsDwDb0Zw5ke4TEF5vmNqG67DaHFTw=","yom5icl2EDmTVIsDwDb0Zw5ke4TEF5vmNqG67DaHFTw=","yom5icl2EDmTVIsDwDb0Zw5ke4TEF5vmNqG67DaHFTw=","","","","24","56","2018-11-23","es"
"F+BfTNvXciXgS0weJZcNIYJ2HR+CjJ48QebmwS5Z4=","F+BfTNvXciXgS0weJZcNIYJ2HR+CjJ48QebmwS5Z4=","F+BfTNvXciXgS0weJZcNIYJ2HR+CjJ48QebmwS5Z4=","","","https://t.co/79DnEdCnB1","197","441","2016-10-27","es"
"CMEBPEWJGfGX1Yhyo8XvQfoNi0tJ4kEjfBpeu+yH84s=","CMEBPEWJGfGX1Yhyo8XvQfoNi0tJ4kEjfBpeu+yH84s=","CMEBPEWJGfGX1Yhyo8XvQfoNi0tJ4kEjfBpeu+yH84s=","","Fiel seguidor de las ideas de Fidel, Raúl y el Che. revolucionario 100 porciento y defensor de mi patria.","","992","1210","2019-07-05","es"
"AoGzyy9INtDh72x8D8XxOOt+8fFEoWC2UcJMc1LxGc=","AoGzyy9INtDh72x8D8XxOOt+8fFEoWC2UcJMc1LxGc=","AoGzyy9INtDh72x8D8XxOOt+8fFEoWC2UcJMc1LxGc=","","Amo mi isla bella y cubano hasta la médula","","132","206","2019-09-19","en"
"N0HS8RLFESSd2u5vVCJTtJu8VhnYezAAiqT592ZYfc8=","N0HS8RLFESSd2u5vVCJTtJu8VhnYezAAiqT592ZYfc8=","N0HS8RLFESSd2u5vVCJTtJu8VhnYezAAiqT592ZYfc8=","","","","10","18","2019-09-09","es"
"zA9arc7pwSc19bP6da6k0jdJysnGuN1icKDZXgKq0Q=","zA9arc7pwSc19bP6da6k0jdJysnGuN1icKDZXgKq0Q=","zA9arc7pwSc19bP6da6k0jdJysnGuN1icKDZXgKq0Q=","Cuba","Cubana","","1700","2227","2019-07-03","es"
"lGDdFVIQPwvuQCCFuA5irfqN1N9IJRCEgRpmBGXKNs=","lGDdFVIQPwvuQCCFuA5irfqN1N9IJRCEgRpmBGXKNs=","lGDdFVIQPwvuQCCFuA5irfqN1N9IJRCEgRpmBGXKNs=","Cuba","Cuando se sirve bien a la Patria, se tienen en todas partes muchos viejos amigos. #JoséMartí #Cuba 🇨🇺 #DeZurdaTeam 🤝","","480","273","2020-01-12","es"
"rLVwS2vmErNdeLZmTUcZNiqOc6yTRY0Qa4RcYoBTNQ=","rLVwS2vmErNdeLZmTUcZNiqOc6yTRY0Qa4RcYoBTNQ=","rLVwS2vmErNdeLZmTUcZNiqOc6yTRY0Qa4RcYoBTNQ=","De todos y de ningún lugar ","Convencida de que: Por muy larga que sea la ⛈️, el ☀️ siempre vuelve a brillar entre las ☁️☁️. Amante de la 🎼 🐕🏐📺📚🏖️ #SiguemeYTeSigo","","3","11","2019-07-27","en"
"1173579996683784192","Ana Alicia Morales","ana_alicia_m2","","Dr. Cubana fiel a #Cuba y su Revolución.
#CubaPorLaSalud
#DeZurdaTeam 🤝 🐊","","5956","2146","2019-09-16","es"
"+xYBYGYW6GRwvaN3buHLClM758YQ3dVUzRSgdRwS08=","+xYBYGYW6GRwvaN3buHLClM758YQ3dVUzRSgdRwS08=","+xYBYGYW6GRwvaN3buHLClM758YQ3dVUzRSgdRwS08=","Cuba","Yo ♥️ a #Cuba 🇨🇺
#DeZurdaTeam 🤝 🐬 ♠️","","827","740","2020-01-25","es"
"l+hQSqimk5npLf2R+hQwjYsonSfkPE0ansOOebIlyI=","l+hQSqimk5npLf2R+hQwjYsonSfkPE0ansOOebIlyI=","l+hQSqimk5npLf2R+hQwjYsonSfkPE0ansOOebIlyI=","","No crime shall go unpunished","","5","40","2020-02-07","en"
"B+6pCnPIlhodVD0em7p8wQvZ6iu7aNpNjc5C0690Kw=","B+6pCnPIlhodVD0em7p8wQvZ6iu7aNpNjc5C0690Kw=","B+6pCnPIlhodVD0em7p8wQvZ6iu7aNpNjc5C0690Kw=","","","","2027","2290","2012-07-06","es"
"5k94IHaadjLnBXHNZIT2kLjWpERt6OZEzKvruQwGndY=","5k94IHaadjLnBXHNZIT2kLjWpERt6OZEzKvruQwGndY=","5k94IHaadjLnBXHNZIT2kLjWpERt6OZEzKvruQwGndY=","La Habana","TRINCHERAS DE IDEAS VALEN MÁS QUE TRINCHERAS DE PIEDRAS. #JoseMarti 
#Cuba 🇨🇺 #PatriaGrande #CubaSalvaVidas
#QueMisHijosNazcanSinBloqueo
#DeZurdaTeam 🤝🐺🐆","","4963","4045","2019-04-11","es"
"4TcB+ISF93CKzWK15gR9qvTmATqnA9s5mP8yDAqqPM=","4TcB+ISF93CKzWK15gR9qvTmATqnA9s5mP8yDAqqPM=","4TcB+ISF93CKzWK15gR9qvTmATqnA9s5mP8yDAqqPM=","Matanzas, Cuba","💫 Revolucionaria 💯%, Seguidora de los ideales de #FidelCastro. Mi 💖 late a la izquierda... #DeZurdaTeam...","","752","737","2020-03-25","es"
"RCKF5tnRMCuyhob9dbBvnieVqmU0SlsgyY2iirxuss=","RCKF5tnRMCuyhob9dbBvnieVqmU0SlsgyY2iirxuss=","RCKF5tnRMCuyhob9dbBvnieVqmU0SlsgyY2iirxuss=","Cuba","100% CUBANO. Psicólogo, Padre, Amigo, Hijo, pero sobre todo; REVOLUCIONARIO🇨🇺
#SomosContinuidad
#DeZurdaTeam","","4218","3949","2019-04-06","es"
"wsXymWgfQDtrziQptj9Jg0nXLTADcH0lqbXzUM8ON3A=","wsXymWgfQDtrziQptj9Jg0nXLTADcH0lqbXzUM8ON3A=","wsXymWgfQDtrziQptj9Jg0nXLTADcH0lqbXzUM8ON3A=","","soy fan de todo lo friki, soy orgullosamente nerd 😘😻😻😻 fan de gatos y enferma compulsiva a #worldofwarcraft","","21","60","2018-08-14","es"
"AJYcaUNrvZSZsrnNTMNkEc2U8FgNHJB4HDh45W014M=","AJYcaUNrvZSZsrnNTMNkEc2U8FgNHJB4HDh45W014M=","AJYcaUNrvZSZsrnNTMNkEc2U8FgNHJB4HDh45W014M=","","Lic. en Letras, amante de la literatura, de la música y de la tierra más hermosa que existe... mi bella Cuba.  
#SiguemeYTeSigo @DeZurdaTeam @VillaClaraTeam","","123","184","2020-01-20","en"
"S8NhFZ8tjgD2Qbxo6Wv1c3gItw18OmvhEzJ1AmgG50=","S8NhFZ8tjgD2Qbxo6Wv1c3gItw18OmvhEzJ1AmgG50=","S8NhFZ8tjgD2Qbxo6Wv1c3gItw18OmvhEzJ1AmgG50=","Cuba","Soy cubano, revolucionario y amante del deporte nacional","","1357","2832","2019-05-01","en"
"yMhiRte1S6NbskSup7x3VPOo8vBvQ2mbLN+1NrGHhWs=","yMhiRte1S6NbskSup7x3VPOo8vBvQ2mbLN+1NrGHhWs=","yMhiRte1S6NbskSup7x3VPOo8vBvQ2mbLN+1NrGHhWs=","Cuba","Me gusta.....📚 🎶 🍫🏖️❣️Tantas cosas
Y ➕ ser #DeZurdaTeam 🤝🦁♠️","","843","358","2019-10-31","es"
"r2GoVEXLq+Z+9f13iC79GvU4n1SU1YgY1EdFDtn8rLU=","r2GoVEXLq+Z+9f13iC79GvU4n1SU1YgY1EdFDtn8rLU=","r2GoVEXLq+Z+9f13iC79GvU4n1SU1YgY1EdFDtn8rLU=","Camagüey","😀","","9","138","2019-04-17","en"
"zlYP9x+KJ34kvkj9tGzGXSQTMrc6tb3S8MIU4QcjLM=","zlYP9x+KJ34kvkj9tGzGXSQTMrc6tb3S8MIU4QcjLM=","zlYP9x+KJ34kvkj9tGzGXSQTMrc6tb3S8MIU4QcjLM=","Santiago, Chile","Amante de la vida y la buena 🍺","","37","27","2020-01-14","en"
"HQarNtk2rX3tNCqg7BeTwX+5AZRRclbKFxNmPSZcA=","HQarNtk2rX3tNCqg7BeTwX+5AZRRclbKFxNmPSZcA=","HQarNtk2rX3tNCqg7BeTwX+5AZRRclbKFxNmPSZcA=","","Pandita","","90","108","2020-02-18","es"
